batting-hand,bowler_type_way_out,innings,batsman_runs,batsman_balls,batsman_4s,batsman_6s,batting_position,dismissed_ball,wickets_fallen,runs_scored
left,Slow left-arm orthodox_caught,1,6,5,1,0,7,47.5,5,258
left,Right-arm fast-medium_caught,1,8,10,0,1,8,1.5,0,6
left,Right-arm fast-medium_caught,1,27,17,4,1,8,0.3,0,3
left,Right-arm fast-medium_caught,1,16,10,3,0,7,46.3,5,262
left,Right-arm fast-medium_caught,1,54,26,7,1,6,49.2,4,299
left,Left-arm fast-medium_caught,1,0,1,0,0,8,46.5,7,200
left,Right-arm medium-fast_caught,1,5,6,0,0,7,46.6,6,268
left,Left-arm fast-medium_caught,2,0,1,0,0,8,39.4,6,234
left,Left-arm medium-fast_lbw,2,2,4,0,0,8,34.5,6,171
left,Left-arm medium-fast_caught,1,20,12,1,1,7,45.4,5,253
left,Left-arm fast_caught,2,8,3,2,0,7,42.2,5,293
left,Left-arm medium_caught,1,7,11,0,0,7,40.4,4,289
left,Right-arm fast-medium_caught,1,0,3,0,0,7,1.4,0,3
left,Left-arm fast_caught,1,1,3,0,0,7,8.3,0,44
left,Left-arm fast_caught,2,15,22,0,0,9,8.2,0,92
left,Right-arm medium-fast_caught,2,12,33,0,0,7,7.5,1,42
left,Right-arm fast_caught,2,15,13,0,1,6,34.2,4,161
left,Left-arm fast_caught,1,21,14,3,0,8,0.4,0,3
left,Left-arm fast-medium_bowled,1,12,6,1,1,8,45.6,5,261
left,Left-arm fast_caught,1,9,10,0,0,8,35.5,5,154
left,Legbreak googly_caught,1,13,26,2,0,8,32.3,4,130
left,Left-arm fast-medium_caught,2,55,35,4,2,8,45.1,9,234
left,Right-arm fast-medium_caught,1,52,40,4,1,7,49.5,8,277
left,Left-arm fast_caught,1,1,5,0,0,8,34.6,6,167
left,Right-arm fast-medium_bowled,1,0,5,0,0,8,35.5,6,178
left,Legbreak_caught,2,21,29,1,1,7,25.6,5,108
left,Right-arm offbreak_caught,2,7,5,1,0,7,27.2,5,92
left,Legbreak_caught,1,0,1,0,0,8,24.2,6,99
left,Legbreak_caught,1,25,29,3,1,8,21.3,7,85
left,Legbreak googly_caught,2,5,3,1,0,7,30.6,5,166
left,Legbreak googly_lbw,1,6,6,0,0,7,35.1,5,197
left,Right-arm offbreak_caught,2,64,37,5,3,7,24.6,2,132
left,Right-arm offbreak_caught,2,29,14,3,2,7,2.1,0,2
left,Right-arm fast_caught,1,2,10,0,0,6,38.4,4,163
left,Right-arm fast-medium_caught,2,22,24,4,0,2,8.3,0,48
left,Right-arm fast-medium_caught,1,15,21,0,0,7,44.5,7,219
left,Right-arm fast-medium_caught,2,13,15,0,0,5,34.4,3,194
left,Slow left-arm orthodox_caught,2,69,63,7,0,5,49.3,7,308
left,Slow left-arm orthodox_bowled,2,3,6,0,0,6,27.4,4,119
left,Right-arm offbreak_caught,1,62,62,6,0,5,45.6,4,244
left,Right-arm fast-medium_caught,2,24,34,1,0,5,36.5,3,202
left,Right-arm fast-medium_bowled,1,51,59,2,0,5,48.6,8,235
left,Right-arm offbreak_caught,2,14,30,0,0,5,26.1,4,125
left,Right-arm fast-medium_caught,2,30,57,1,0,5,26.4,4,113
left,Right-arm offbreak_lbw,2,29,37,0,1,5,35.5,4,198
left,Right-arm medium_caught,1,7,18,0,0,5,14.3,3,65
left,Slow left-arm orthodox_stumped,1,48,73,3,0,5,31.6,3,120
left,Right-arm offbreak_lbw,2,7,10,0,0,7,38.2,5,191
left,Right-arm offbreak_bowled,1,47,69,0,0,3,46.6,7,219
left,Right-arm fast-medium_caught,2,0,8,0,0,4,25.2,2,128
left,Right-arm medium-fast_caught,1,17,15,3,0,3,5.6,1,33
left,Left-arm fast_caught,2,7,24,1,0,3,11.1,2,37
left,Slow left-arm orthodox_caught,2,1,10,0,0,3,14.3,1,62
left,Left-arm fast_caught,1,57,86,4,0,4,31.3,3,128
left,Right-arm fast-medium_caught,1,7,31,1,0,4,15.2,1,36
left,Right-arm fast-medium_caught,1,6,19,1,0,6,35.3,4,151
left,Right-arm offbreak_bowled,1,23,73,0,0,5,25.5,3,93
left,Right-arm medium_caught,2,0,3,0,0,5,8.3,3,31
left,Right-arm fast-medium_caught,1,46,72,4,0,4,37.5,2,171
left,Right-arm medium-fast_caught,1,17,33,0,0,5,47.3,3,290
left,Right-arm medium-fast_lbw,1,13,27,0,0,5,35.1,4,143
left,Slow left-arm orthodox_caught,1,68,93,6,1,3,33.4,1,176
left,Right-arm offbreak_caught,1,2,6,0,0,6,40.2,4,216
left,Right-arm fast-medium_caught,1,23,29,4,0,4,24.2,4,144
left,Legbreak googly_caught,2,10,16,1,0,5,29.4,3,141
left,Right-arm offbreak_caught,2,18,31,2,0,2,10.1,0,44
left,Right-arm offbreak_bowled,1,102,110,11,1,2,35.2,2,204
left,Right-arm offbreak_lbw,2,38,55,4,1,2,17.2,0,80
left,Left-arm fast-medium_bowled,1,5,16,0,0,2,5.4,0,14
left,Slow left-arm orthodox_caught,2,33,60,3,0,2,23.1,4,75
left,Right-arm offbreak_bowled,2,101,108,13,0,2,44.1,4,247
left,Right-arm medium-fast_caught,1,8,24,0,0,3,8.4,1,25
left,Right-arm fast-medium_lbw,2,0,5,0,0,1,0.5,0,0
left,Right-arm fast-medium_caught,1,10,37,0,1,1,8.6,0,33
left,Right-arm fast-medium_caught,1,7,16,1,0,1,4.5,1,13
left,Right-arm fast-medium_caught,1,16,14,2,0,6,46.2,4,261
left,Right-arm medium-fast_bowled,2,15,26,0,0,7,37.1,5,216
left,Legbreak googly_caught,1,36,49,4,0,4,22.1,2,125
left,Right-arm offbreak_bowled,2,22,37,1,0,5,24.2,4,151
left,Right-arm medium_caught,2,59,69,7,1,6,36.2,5,218
left,Right-arm offbreak_caught,1,52,76,2,1,6,44.6,4,213
left,Right-arm offbreak_lbw,1,8,19,1,0,6,40.2,4,173
left,Left-arm fast-medium_caught,1,23,50,1,1,6,39.2,4,155
left,Left-arm fast-medium_bowled,1,19,31,1,0,6,44.3,4,245
left,Right-arm medium_caught,2,45,65,3,1,1,18.3,0,93
left,Left-arm fast-medium_caught,2,29,43,2,0,1,13.3,1,61
left,Left-arm medium-fast_lbw,1,30,41,4,0,1,14.6,0,71
left,Left-arm fast-medium_bowled,2,65,60,8,0,1,21.6,1,124
left,Right-arm fast-medium_lbw,2,0,1,0,0,1,0.1,0,0
left,Right-arm fast_caught,1,52,78,3,0,1,24.3,0,122
left,Left-arm fast_caught,2,1,5,0,0,1,1.4,0,5
left,Right-arm medium-fast_caught,1,4,21,0,0,1,5.3,0,21
left,Legbreak googly_caught,1,41,48,5,0,4,19.1,2,69
left,Right-arm medium-fast_caught,1,23,23,2,1,3,16.3,1,82
left,Left-arm fast-medium_caught,2,4,8,0,0,5,24.2,4,159
left,Left-arm fast-medium_caught,2,56,67,4,0,3,30.1,5,142
left,Legbreak googly_caught,1,90,126,5,0,3,41.1,4,186
left,Left-arm fast-medium_caught,1,30,30,2,0,3,36.1,2,219
left,Right-arm fast-medium_caught,2,17,20,2,0,3,10.2,1,89
left,Right-arm medium-fast_caught,2,21,34,3,0,3,15.4,1,95
left,Right-arm fast-medium_lbw,1,1,19,0,0,3,7.4,2,23
left,Left-arm fast-medium_caught,1,1,5,0,0,3,6.3,1,29
left,Right-arm fast-medium_bowled,2,2,3,0,0,3,3.1,1,15
left,Right-arm fast-medium_caught,1,80,105,5,1,4,39.3,4,159
left,Right-arm medium-fast_caught,2,18,27,1,1,4,15.6,3,68
left,Right-arm medium_bowled,1,67,102,3,1,4,38.5,3,185
left,Left-arm medium-fast_lbw,2,53,74,3,0,4,32.1,6,132
left,Right-arm offbreak_lbw,2,12,34,0,0,4,22.5,2,70
left,Right-arm offbreak_caught,1,28,45,0,0,5,42.4,6,162
left,Slow left-arm orthodox_caught,1,62,94,4,0,4,40.1,8,164
left,Right-arm medium-fast_caught,1,19,31,3,0,4,14.1,5,49
left,Right-arm medium_bowled,2,0,3,0,0,3,6.1,1,19
left,Right-arm offbreak_bowled,2,21,35,1,0,3,15.3,2,62
right,Right-arm offbreak_caught,1,16,28,0,0,1,10.5,0,53
right,Right-arm medium_caught,1,4,15,0,0,1,3.3,0,7
right,Right-arm medium-fast_caught,2,10,6,1,0,2,3.3,0,39
right,Right-arm medium-fast_caught,1,38,41,5,0,2,15.3,0,89
right,Right-arm fast_caught,1,1,5,0,0,2,2.4,1,2
right,Right-arm offbreak_caught,1,148,114,16,7,1,38.2,0,246
right,Right-arm offbreak_caught,1,45,45,4,1,2,21.5,2,116
right,Right-arm fast-medium_caught,1,26,32,6,0,2,9.4,1,48
right,Slow left-arm orthodox_caught,1,72,79,8,3,2,27.1,2,146
right,Right-arm fast-medium_lbw,2,38,44,6,0,2,16.3,1,82
right,Right-arm fast-medium_bowled,1,5,10,1,0,1,1.5,0,5
right,Right-arm offbreak_bowled,1,20,28,3,0,2,11.1,1,45
right,Right-arm fast-medium_lbw,2,5,5,1,0,1,1.2,0,7
right,Right-arm fast-medium_caught,2,121,128,12,0,1,39.3,2,237
right,Right-arm fast-medium_caught,2,0,3,0,0,2,1.3,0,6
right,Right-arm fast-medium_caught,2,22,20,3,0,1,6.6,0,43
right,Right-arm medium-fast_caught,2,108,111,8,4,2,35.2,4,189
right,Right-arm fast-medium_bowled,1,7,16,1,0,1,4.4,0,14
right,Right-arm offbreak_caught,1,67,79,5,3,1,29.3,1,145
right,Right-arm medium-fast_caught,1,102,116,9,1,1,39.2,2,229
right,Right-arm offbreak_bowled,1,11,12,2,0,1,3.1,0,11
right,Right-arm medium-fast_caught,1,16,36,1,0,1,10.3,0,46
right,Right-arm fast_bowled,1,54,87,5,0,1,28.1,3,115
right,Left-arm fast_caught,2,14,12,3,0,2,3.6,0,22
right,Right-arm medium-fast_caught,1,18,34,3,0,1,10.3,0,48
right,Right-arm fast-medium_caught,1,35,40,4,1,2,14.4,1,94
right,Right-arm fast_caught,1,8,14,0,1,2,4.3,1,14
right,Right-arm fast-medium_bowled,1,109,127,9,3,1,40.2,2,242
right,Left-arm medium-fast_caught,2,22,37,2,0,1,13.2,2,48
right,Slow left-arm orthodox_caught,2,76,67,11,0,2,21.5,1,137
right,Right-arm fast-medium_bowled,2,15,18,3,0,2,6.2,0,33
right,Right-arm fast-medium_caught,2,96,127,5,2,1,40.1,3,219
right,Right-arm offbreak_bowled,2,32,32,3,0,1,11.4,0,76
right,Right-arm fast-medium_caught,1,0,3,0,0,1,0.3,0,0
right,Right-arm medium-fast_bowled,1,14,7,1,1,1,2.2,0,30
right,Right-arm fast-medium_caught,1,4,9,0,0,2,2.6,0,14
right,Legbreak_stumped,1,24,24,3,0,1,8.4,1,41
right,Left-arm medium_caught,2,20,10,3,1,2,3.6,0,30
right,Right-arm fast-medium_lbw,2,2,5,0,0,2,2.3,0,15
right,Right-arm fast-medium_caught,1,81,116,7,1,1,38.2,3,233
right,Left-arm fast-medium_caught,2,0,5,0,0,2,1.4,0,2
right,Legbreak_caught,2,53,60,8,0,2,21.4,2,106
right,Left-arm fast-medium_caught,1,15,27,2,0,2,8.3,2,30
right,Left-arm medium_caught,2,8,11,1,0,1,2.3,0,9
right,Slow left-arm orthodox_caught,2,71,81,7,1,1,24.5,0,145
right,Right-arm fast-medium_caught,2,21,23,3,0,2,7.1,0,48
right,Right-arm fast-medium_caught,1,107,107,9,2,2,37.3,1,221
right,Right-arm fast-medium_lbw,1,6,6,1,0,1,0.6,0,6
right,Right-arm medium-fast_lbw,2,19,30,4,0,2,7.4,0,44
right,Slow left-arm orthodox_caught,2,72,103,6,3,2,30.3,8,113
right,Legbreak googly_bowled,1,13,28,2,0,2,9.6,0,48
right,Right-arm medium-fast_caught,1,0,1,0,0,2,0.4,0,1
right,Right-arm fast-medium_caught,2,16,11,3,0,2,4.3,0,35
right,Right-arm medium-fast_caught,1,47,41,6,1,2,12.3,1,69
right,Slow left-arm orthodox_caught,2,56,46,7,2,2,14.2,1,79
right,Right-arm medium-fast_bowled,2,4,7,0,0,2,3.3,1,16
right,Slow left-arm orthodox_lbw,2,30,29,3,1,2,7.3,1,42
right,Slow left-arm orthodox_lbw,2,55,19,8,3,2,5.3,0,74
right,Right-arm fast-medium_caught,1,33,28,4,2,2,12.1,1,88
right,Right-arm fast_caught,2,1,5,0,0,1,1.2,0,3
right,Legbreak googly_caught,1,53,34,3,4,2,13.1,0,110
right,Right-arm fast-medium_bowled,1,2,3,0,0,1,0.3,0,2
right,Legbreak googly_bowled,2,19,40,3,0,2,13.4,0,72
right,Right-arm fast-medium_bowled,1,0,1,0,0,2,0.3,0,1
right,Slow left-arm orthodox_bowled,1,19,34,2,0,2,12.2,0,68
right,Left-arm fast-medium_caught,1,3,8,0,0,2,1.5,0,6
right,Left-arm fast-medium_caught,2,4,7,0,0,1,3.1,0,9
right,Right-arm offbreak_caught,2,56,64,5,2,1,20.6,2,119
right,Right-arm fast_caught,2,8,18,0,0,2,6.3,1,35
right,Right-arm fast_lbw,2,19,27,3,0,2,7.5,0,45
right,Right-arm fast-medium_caught,1,68,64,8,0,2,22.5,1,136
right,Slow left-arm chinaman_caught,1,124,125,12,5,2,37.5,1,224
right,Right-arm fast-medium_caught,1,94,96,10,3,1,35.5,1,231
right,Right-arm medium-fast_caught,1,32,36,6,0,2,11.3,0,66
right,Right-arm offbreak_caught,1,107,119,10,3,1,35.2,3,196
right,Right-arm fast_caught,1,106,114,9,1,2,40.1,4,213
right,Legbreak_lbw,2,62,53,3,3,1,20.1,2,113
left,Right-arm medium-fast_caught,2,51,53,7,2,1,13.2,1,69
left,Right-arm fast_caught,2,6,7,1,0,1,3.4,1,7
left,Right-arm medium_caught,2,1,2,0,0,1,1.1,0,6
left,Left-arm fast-medium_caught,1,3,14,0,0,1,2.4,0,4
left,Right-arm fast-medium_caught,1,38,59,6,0,2,19.5,2,69
left,Right-arm fast-medium_caught,1,8,7,2,0,1,1.3,0,9
left,Right-arm fast-medium_bowled,2,29,59,4,0,1,19.6,3,93
left,Slow left-arm orthodox_caught,1,45,53,6,0,2,16.5,0,78
left,Right-arm fast-medium_caught,2,11,39,1,0,1,11.2,0,45
left,Right-arm fast_bowled,1,3,17,0,0,1,5.4,1,13
left,Slow left-arm orthodox_caught,2,54,73,3,1,2,30.3,5,129
left,Right-arm fast-medium_caught,1,50,66,4,2,1,26.6,2,136
left,Right-arm fast-medium_caught,2,43,49,6,1,1,12.6,1,64
left,Right-arm fast-medium_caught,1,13,56,0,0,1,15.3,1,41
left,Slow left-arm orthodox_caught,1,82,98,9,1,1,34.4,4,131
left,Right-arm fast-medium_bowled,1,0,3,0,0,1,0.3,0,0
left,Right-arm medium-fast_caught,1,8,31,1,0,1,9.2,0,34
left,Right-arm fast-medium_caught,2,13,18,2,0,1,5.4,0,25
left,Right-arm offbreak_caught,1,46,84,4,1,1,25.5,0,94
left,Right-arm fast-medium_caught,1,129,136,15,1,1,47.3,5,260
left,Left-arm medium-fast_bowled,2,5,5,1,0,1,1.2,0,9
left,Legbreak googly_caught,1,60,78,10,0,1,23.5,4,104
left,Right-arm fast-medium_caught,1,10,12,1,0,1,2.6,2,10
left,Right-arm fast-medium_caught,2,9,14,1,0,1,5.2,2,16
left,Legbreak googly_caught,2,29,38,4,0,1,12.2,1,49
left,Right-arm medium_caught,1,0,5,0,0,1,0.5,0,0
left,Right-arm fast-medium_bowled,2,28,40,4,0,1,12.4,2,48
left,Right-arm fast-medium_caught,1,55,67,7,0,1,19.5,2,102
left,Left-arm fast-medium_caught,2,8,15,1,0,1,4.5,0,10
left,Right-arm fast-medium_caught,1,26,41,3,0,1,11.1,3,49
left,Left-arm fast_caught,2,21,31,3,0,1,8.1,1,28
left,Left-arm fast-medium_caught,1,0,1,0,0,1,0.1,0,0
left,Right-arm fast-medium_caught,2,63,69,5,1,1,23.1,7,103
left,Right-arm fast-medium_caught,2,12,12,2,0,1,4.1,0,18
left,Right-arm fast-medium_lbw,2,0,2,0,0,1,0.2,0,0
left,Right-arm offbreak_caught,2,35,39,5,0,1,12.2,2,49
left,Right-arm fast_caught,2,41,22,7,1,1,5,0,46
left,Right-arm fast-medium_caught,1,18,42,4,0,1,14.2,3,42
left,Right-arm medium_caught,1,13,54,2,0,1,17.5,2,31
left,Right-arm fast-medium_bowled,2,21,27,3,0,1,8.5,0,32
left,Right-arm fast-medium_caught,2,34,49,5,0,1,15.1,1,52
left,Right-arm fast_caught,1,0,1,0,0,1,0.1,0,0
left,Right-arm medium-fast_caught,2,30,27,5,1,1,8.2,0,54
left,Right-arm fast-medium_caught,2,0,1,0,0,1,0.1,0,0
left,Slow left-arm orthodox_caught,2,154,138,7,6,1,44.3,4,279
left,Slow left-arm orthodox_bowled,2,4,23,0,0,1,9.1,0,43
left,Right-arm fast-medium_caught,1,5,11,1,0,1,3.3,1,5
left,Right-arm medium_caught,2,26,19,2,1,1,6.1,2,56
left,Slow left-arm orthodox_caught,2,22,26,3,0,1,6.3,0,33
left,Right-arm fast-medium_caught,1,60,42,10,1,1,10.6,0,80
left,Right-arm offbreak_lbw,1,21,22,2,1,1,7.4,0,44
left,Left-arm medium-fast_caught,1,17,31,3,0,1,13.2,2,60
left,Slow left-arm orthodox_caught,2,62,69,10,0,1,21.5,3,119
left,Left-arm fast-medium_caught,1,1,6,0,0,1,1.5,0,5
left,Right-arm medium-fast_bowled,1,8,6,2,0,1,1,0,8
left,Right-arm fast-medium_bowled,1,125,120,13,3,1,42.4,8,214
left,Right-arm fast-medium_caught,1,30,25,4,0,1,9.2,0,46
left,Right-arm fast-medium_caught,2,0,3,0,0,1,0.3,0,0
left,Right-arm medium_caught,1,22,12,2,1,1,2.5,0,35
left,Right-arm offbreak_stumped,2,51,53,5,1,1,19.2,2,104
left,Right-arm fast-medium_caught,2,34,27,6,0,1,7.5,0,39
left,Right-arm fast-medium_caught,1,5,7,0,0,1,2.2,1,15
left,Slow left-arm orthodox_caught,2,74,91,6,1,1,33.1,3,172
left,Right-arm medium-fast_caught,1,2,5,0,0,1,1.2,0,13
left,Right-arm fast-medium_lbw,2,23,32,2,0,1,10.5,0,44
left,Slow left-arm orthodox_caught,2,44,48,5,2,1,13.6,1,75
left,Right-arm fast-medium_lbw,1,0,6,0,0,1,0.6,0,0
left,Right-arm medium-fast_caught,2,70,86,3,1,1,32.1,2,188
left,Right-arm medium_caught,1,44,43,7,0,1,11.1,2,68
left,Right-arm fast_caught,1,0,3,0,0,1,0.3,0,0
left,Right-arm medium-fast_bowled,2,38,26,5,0,1,8.4,0,52
left,Left-arm fast-medium_caught,2,5,14,1,0,1,3.3,0,14
left,Slow left-arm orthodox_caught,2,62,89,4,1,1,29.6,3,116
left,Left-arm fast_caught,1,5,7,1,0,1,1.4,0,9
left,Left-arm fast_bowled,2,32,17,6,1,1,4.3,0,43
left,Left-arm fast-medium_caught,1,4,18,0,0,1,5.4,0,7
left,Left-arm fast-medium_caught,1,3,6,0,0,1,1.5,0,9
left,Slow left-arm orthodox_lbw,2,61,53,9,0,1,20.6,2,122
left,Slow left-arm orthodox_caught,1,45,65,5,0,1,20.2,2,79
left,Legbreak_caught,2,21,38,2,0,1,12.1,0,44
left,Right-arm offbreak_lbw,1,0,4,0,0,1,0.4,0,0
left,Right-arm offbreak_bowled,2,0,1,0,0,1,0.1,0,0
left,Right-arm offbreak_bowled,2,64,89,6,1,1,28.3,3,135
left,Right-arm medium_caught,2,70,99,6,0,1,33.5,2,156
left,Right-arm fast-medium_caught,2,60,68,8,0,1,23.1,2,81
left,Right-arm offbreak_caught,1,22,30,3,0,1,12.2,0,57
left,Right-arm fast_bowled,2,1,7,0,0,1,2.2,2,4
left,Right-arm fast_bowled,2,8,8,2,0,1,2.2,0,8
left,Right-arm fast-medium_caught,1,6,14,1,0,1,2.5,0,10
left,Right-arm fast-medium_caught,1,32,70,2,1,1,21.2,3,84
left,Right-arm medium-fast_lbw,1,5,8,1,0,1,3,0,13
left,Left-arm medium-fast_bowled,1,58,86,5,1,1,31.4,2,136
left,Right-arm fast-medium_caught,1,0,11,0,0,1,3.6,0,5
left,Right-arm medium_caught,2,4,2,1,0,1,0.2,0,4
left,Right-arm medium-fast_caught,1,26,47,3,0,1,12.1,0,41
left,Right-arm fast_caught,2,37,50,5,0,1,16.1,5,57
left,Right-arm offbreak_bowled,2,55,62,9,0,1,21.6,2,101
left,Right-arm fast-medium_bowled,1,5,15,1,0,1,4.3,0,8
left,Right-arm medium-fast_caught,1,16,34,2,0,1,10.3,1,31
left,Right-arm fast-medium_caught,2,10,15,2,0,1,4.2,0,18
left,Right-arm fast-medium_caught,1,19,42,2,0,2,14.3,0,47
left,Right-arm fast_bowled,2,0,2,0,0,1,0.2,0,0
left,Right-arm medium-fast_lbw,2,95,100,9,1,1,31.3,2,201
left,Right-arm fast-medium_caught,1,2,7,0,0,1,2.1,1,8
left,Left-arm fast-medium_caught,1,13,27,2,0,1,9.4,1,27
left,Right-arm fast-medium_caught,2,25,25,4,0,1,6.3,0,33
left,Left-arm fast_caught,1,132,135,15,3,1,41.4,2,245
left,Left-arm fast_lbw,2,64,76,8,1,1,25.3,0,145
left,Right-arm offbreak_caught,1,60,62,7,1,1,17.3,1,123
left,Right-arm medium_caught,2,13,21,3,0,1,6.2,0,34
left,Right-arm medium_lbw,2,5,8,1,0,1,1.6,0,8
left,Right-arm fast_bowled,1,0,13,0,0,1,3.4,0,17
left,Right-arm fast_bowled,2,5,7,1,0,1,1.1,0,5
left,Right-arm offbreak_caught,1,40,68,3,2,1,23.2,2,100
left,Right-arm fast-medium_caught,1,19,25,3,0,1,6.6,0,32
left,Legbreak googly_stumped,1,73,98,7,1,1,34.2,1,173
left,Right-arm fast-medium_caught,1,80,98,9,0,1,35.1,2,163
left,Right-arm fast-medium_caught,1,20,36,3,0,1,10.4,0,45
left,Right-arm offbreak_caught,1,118,118,11,2,1,38.4,2,212
left,Right-arm fast-medium_caught,2,17,31,2,0,1,9.5,0,46
left,Right-arm fast-medium_caught,1,14,31,1,0,1,8.4,1,26
left,Legbreak_caught,1,45,68,5,0,1,22.5,1,106
left,Right-arm medium_caught,2,38,59,5,0,1,17.6,3,81
left,Right-arm medium-fast_caught,2,16,23,3,0,1,7.2,0,30
left,Right-arm medium_caught,1,59,88,5,0,1,30.1,3,141
left,Right-arm fast_caught,1,127,142,15,1,1,47.5,4,289
left,Right-arm fast-medium_caught,2,4,6,1,0,1,0.6,0,4
left,Right-arm medium_caught,1,23,42,3,0,1,15.2,0,72
left,Right-arm medium-fast_caught,2,47,54,6,0,1,13.5,0,95
left,Slow left-arm orthodox_caught,2,65,80,6,1,1,27,1,143
left,Right-arm fast_caught,1,128,142,12,3,1,44.3,2,261
left,Left-arm fast_caught,1,95,114,6,3,1,42.1,6,181
left,Right-arm medium-fast_lbw,2,0,2,0,0,1,0.2,0,0
left,Right-arm offbreak_bowled,1,70,82,7,1,1,27.6,2,154
left,Right-arm medium-fast_lbw,2,23,25,3,0,1,7.4,0,44
left,Right-arm offbreak_caught,1,84,102,7,2,1,29.1,1,170
left,Legbreak googly_stumped,1,76,105,6,0,1,38.1,4,163
left,Right-arm fast-medium_caught,1,5,14,0,0,1,4.5,2,16
left,Right-arm fast_caught,2,3,18,0,0,1,5.3,0,11
right,Right-arm fast-medium_bowled,1,2,7,0,0,2,3.3,1,22
right,Right-arm fast-medium_caught,2,2,5,0,0,7,11.5,6,43
right,Right-arm medium_caught,1,56,46,2,4,6,49.3,4,224
right,Right-arm medium_lbw,1,11,16,1,0,7,43.5,5,230
right,Right-arm fast-medium_caught,1,38,28,3,2,6,47.2,4,316
right,Right-arm fast-medium_caught,1,68,53,11,1,4,33.5,2,225
right,Right-arm fast_caught,1,20,28,2,0,8,45.5,7,201
right,Right-arm fast-medium_bowled,2,38,55,2,0,7,45.4,5,210
right,Right-arm fast-medium_caught,1,96,106,10,3,2,38.1,5,186
right,Right-arm offbreak_bowled,1,3,10,0,0,7,41.4,5,149
right,Right-arm medium-fast_bowled,1,59,72,5,0,3,45.5,2,234
right,Right-arm medium-fast_caught,2,18,11,2,1,6,42.3,4,233
right,Right-arm fast_bowled,2,2,7,0,0,7,37.3,5,130
right,Right-arm medium_bowled,2,14,19,2,0,3,6.1,1,26
right,Right-arm fast_bowled,1,2,10,0,0,5,40.4,3,227
right,Right-arm fast-medium_bowled,1,18,13,4,0,6,15.2,4,69
right,Right-arm fast_caught,2,23,34,0,1,7,36.2,5,158
right,Right-arm offbreak_caught,2,7,22,0,0,6,26.3,4,119
right,Left-arm fast-medium_lbw,1,28,23,2,0,6,49.6,7,249
right,Right-arm fast-medium_caught,2,14,27,3,0,5,22.6,5,83
right,Right-arm fast-medium_caught,2,55,48,3,4,6,44.1,6,198
right,Right-arm fast-medium_caught,2,26,21,4,1,6,19.5,4,82
right,Right-arm fast_caught,1,44,49,2,2,5,47.5,7,183
right,Left-arm fast-medium_caught,1,6,19,0,0,6,21.2,4,66
right,Slow left-arm orthodox_caught,2,48,68,1,0,6,49.5,8,252
right,Slow left-arm orthodox_caught,1,0,3,0,0,7,43.5,6,159
right,Right-arm offbreak_caught,1,29,25,2,1,4,38.2,3,269
right,Right-arm offbreak_lbw,2,0,1,0,0,7,28.1,5,112
right,Slow left-arm orthodox_caught,1,36,54,4,0,3,25.5,1,130
right,Right-arm medium-fast_bowled,1,33,38,2,2,4,23.3,2,134
right,Right-arm fast_bowled,2,0,4,0,0,5,32.4,3,142
right,Right-arm fast-medium_caught,2,19,60,1,0,6,30.3,4,102
right,Right-arm fast-medium_caught,1,21,18,3,0,5,46.6,3,302
right,Right-arm fast-medium_caught,2,13,20,0,0,6,38.2,4,190
right,Slow left-arm orthodox_bowled,1,13,18,1,0,6,37.4,4,140
right,Right-arm fast-medium_caught,1,24,17,3,0,5,48.4,4,311
right,Right-arm fast-medium_bowled,2,35,37,3,0,6,47.6,5,294
right,Right-arm fast-medium_caught,1,50,72,4,1,7,47.3,9,187
right,Slow left-arm chinaman_caught,2,58,88,2,2,6,47.3,9,222
right,Right-arm fast_caught,2,33,37,4,0,6,35.6,4,173
right,Left-arm fast_caught,1,4,7,1,0,6,9.2,4,43
right,Left-arm fast_caught,2,26,29,2,1,6,48.4,6,290
right,Left-arm fast-medium_caught,2,5,11,1,0,6,17.5,4,63
right,Right-arm fast_caught,2,63,77,8,0,4,44.1,4,225
right,Right-arm fast_caught,1,4,10,0,0,6,42.1,6,266
right,Right-arm fast_bowled,1,49,52,4,2,5,43.1,3,229
right,Right-arm offbreak_caught,2,24,32,1,0,7,37.4,6,195
right,Right-arm fast_caught,1,37,61,1,0,6,44.1,7,189
right,Right-arm fast_caught,2,36,66,4,0,6,30.3,4,149
right,Left-arm fast-medium_caught,1,36,37,2,1,5,47.6,6,240
right,Left-arm medium-fast_lbw,1,24,23,5,0,6,41.5,4,269
right,Legbreak googly_caught,2,64,59,3,2,7,48.2,9,290
right,Left-arm medium-fast_caught,1,76,96,4,0,5,48.4,6,290
right,Right-arm offbreak_bowled,2,67,62,5,1,4,37.6,3,253
right,Left-arm fast-medium_caught,2,49,74,4,0,5,34.2,8,160
right,Right-arm offbreak_caught,1,6,28,0,0,6,27.2,5,87
right,Right-arm fast-medium_bowled,2,39,54,3,0,5,35.5,5,135
right,Right-arm offbreak_caught,1,76,80,8,0,6,48.3,7,229
right,Left-arm fast-medium_caught,1,71,80,4,0,5,42.4,4,232
right,Right-arm fast-medium_bowled,2,1,7,0,0,6,19.3,5,85
right,Right-arm fast-medium_bowled,1,39,32,3,1,6,47.1,4,352
right,Right-arm medium_bowled,1,15,26,1,0,6,38.6,4,206
right,Slow left-arm orthodox_bowled,1,9,5,0,1,5,21.5,3,160
right,Right-arm offbreak_lbw,2,50,61,5,0,4,40.6,3,250
